[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3970817615.25757,10/28/2025,12:53 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1347,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM897,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,865,PREAMP_SERIAL_NUMBER
INFO,1014,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3970821161.747,5.00079154968262,893.576416015625,7.37243556279725E-6,1.15991803573848E-7,1,1.99850670813958,40.0298881530762,1.98651902865555,19.4499995559454,7.99777815285934E-5,1.18061882967224E-5,0.25,-3.55721498108449E-7,7.37243556279724E-6,-3.55721498108449E-7,5.00164937973022,5.00164937973022,841.104187011719,946.048645019531,48.9440146171975,18.2203346175987,6.78362274169922,0,0,0,80,5.00001001358032,1,6,1,2.0172119140625,38.6119270324707,,,,,,,,,,,,,,,,
,3970821163.7395,5.00121116638184,991.152435302734,7.37657737929882E-6,1.09820005776741E-7,1,1.99850670813958,40.0298881530762,1.98638551867571,19.4600000977516,8.05407502981796E-5,9.15878071497965E-6,0.25,-6.02844985053374E-7,7.37657737929882E-6,-6.02844985053374E-7,4.99993371963501,4.99993371963501,946.048645019531,1036.25622558594,49.2003887715052,18.22417432992,6.78500175476074,0,0,0,80,5.00248861312866,1,6,1,1.99691772460938,39.1006851196289,,,,,,,,,,,,,,,,
,3970821165.6965,5.00066304206848,1086.08032226562,7.60763642238731E-6,1.46195178034674E-7,1,1.99850670813958,40.0298881530762,1.98623723374394,19.4600000977516,8.32353636944799E-5,8.54261460158189E-6,0.25,-7.05710824823612E-7,7.60763642238731E-6,-7.05710824823612E-7,5.00248861312866,5.00248861312866,1036.25622558594,1135.90441894531,49.3176330493898,18.2265656383148,6.78687286376953,0,0,0,80,4.9988374710083,1,6,1,1.9970703125,39.1006851196289,,,,,,,,,,,,,,,,
,3970821167.686,4.99910116195679,1185.59936523438,7.5425009086338E-6,1.37763746229381E-7,1,1.99850670813958,40.0298881530762,1.98587825571952,19.4600000977516,8.22588550836317E-5,9.72986829061948E-6,0.25,-5.8219791969726E-7,7.5425009086338E-6,-5.8219791969726E-7,4.9988374710083,4.9988374710083,1135.90441894531,1235.29431152344,49.0761098369475,18.2312798442122,6.78824472427368,0,0,0,80,4.99936485290527,1,6,1,1.99981689453125,39.1006851196289,,,,,,,,,,,,,,,,
,3970821169.6875,4.99978041648865,1287.84527587891,7.34536821459818E-6,1.48692076224121E-7,1,1.99850670813958,40.0298881530762,1.98599686608142,19.4600000977516,8.02021747699562E-5,9.02765302086973E-6,0.25,-6.0872718626314E-7,7.34536821459818E-6,-6.0872718626314E-7,4.99936485290527,4.99936485290527,1235.29431152344,1340.39624023438,49.3066902501206,18.2307085271455,6.79061508178711,0,0,0,80,5.00019598007202,1,6,1,1.99752807617187,39.1006851196289,,,,,,,,,,,,,,,,
,3970821171.698,4.99981665611267,1390.32861328125,6.9585768693631E-6,1.24019607553368E-7,1,1.99850670813958,40.0298881530762,1.98580568768763,19.4499995559454,7.62423035323492E-5,7.17915947292897E-6,0.25,-7.04422318335292E-7,6.9585768693631E-6,-7.04422318335292E-7,5.00019598007202,5.00019598007202,1340.39624023438,1440.26098632812,49.1738134018514,18.2360815510738,6.79199123382568,0,0,0,80,4.99943733215332,1,6,1,2.020263671875,39.1006851196289,,,,,,,,,,,,,,,,
,3970821173.6975,5.00030994415283,1490.25018310547,7.26475265808246E-6,1.32925667690687E-7,1,1.99850670813958,40.0298881530762,1.98567177951593,19.4600000977516,7.94202960514056E-5,8.36279095726921E-6,0.25,-6.54583732680023E-7,7.26475265808246E-6,-6.54583732680023E-7,4.99943733215332,4.99943733215332,1440.26098632812,1540.23937988281,49.4294059276398,18.2347307550032,6.79423952102661,0,0,0,80,5.00118255615234,1,6,1,2.0001220703125,38.1231689453125,,,,,,,,,,,,,,,,
,3970821175.6965,5.00005173683167,1590.19268798828,7.12189928626018E-6,1.33960030574125E-7,1,1.99850670813958,40.0298881530762,1.98562047764603,19.4600000977516,7.77462593681767E-5,8.75731842356811E-6,0.25,-5.89651673240334E-7,7.12189928626018E-6,-5.89651673240334E-7,5.00118255615234,5.00118255615234,1540.23937988281,1640.14599609375,49.6091804870629,18.2359428023783,6.79542064666748,0,0,0,80,4.99892091751099,1,6,1,2.00180053710938,39.1006851196289,,,,,,,,,,,,,,,,
,3970821177.702,4.99909353256226,1690.09228515625,6.95669904229804E-6,1.43753770869619E-7,1,1.99850670813958,40.0298881530762,1.98553070290143,19.4600000977516,7.5646544660276E-5,1.00383917747612E-5,0.25,-4.3775108525208E-7,6.95669904229804E-6,-4.3775108525208E-7,4.99892091751099,4.99892091751099,1640.14599609375,1740.03857421875,49.4520731546975,18.2394023317179,6.7969765663147,0,0,0,80,4.99926614761353,1,6,1,2.00088500976562,40.5669593811035,,,,,,,,,,,,,,,,
,3970821179.7,4.99996614456177,1789.89086914062,6.87829213508721E-6,1.4447144856029E-7,1,1.99850670813958,40.0298881530762,1.98543539559514,19.4600000977516,7.52303824322183E-5,7.69428068063094E-6,0.25,-6.40497055278092E-7,6.87829213508721E-6,-6.40497055278092E-7,4.99926614761353,4.99926614761353,1740.03857421875,1839.7431640625,49.1949173718706,18.2396295579048,6.79901695251465,0,0,0,80,5.00066614151001,1,6,1,1.99981689453125,39.5894432067871,,,,,,,,,,,,,,,,
